行业,广州,深圳,珠海,惠州,东莞,中山,江门,佛山,肇庆
煤炭采选业,282.5,,,,,,,,
石油和天然气开采,298084.1,,,,,,,,
黑色金属矿采选业,405,,,,,,1342.8,,9897
有色金属矿采选业,609.6,,,3104.1,,,,,15969.5
非金属矿采选业,166828.7,5784.1,3427.3,2492.4,4230,,21342.3,13477.3,77435.3
其他矿采选业,,,,,,,,,
木材及竹材采运业,492.6,788.2,,243.1,333.7,,,,1209
食品加工业,462011.2,389342.2,72676.3,32757.6,37140.8,64647.3,224160.3,327370.3,65247.2
食品制造业,715219.5,91268.4,118236.8,15228.3,35629.9,46280.8,228923.7,89408.2,128092.3
饮料制造业,426268.9,140325.1,46245.1,34880.5,73744.3,173965.1,39152.6,292601.3,100056.8
烟草加工业,223475.8,54728.9,43200.4,,,,6140.2,21703.3,
纺织业,743510.5,202641.9,181416.1,134543,333248.8,283719.3,868398.4,790343,190288.4
服装及其他纤维制品制造业,965248.4,361377.4,327989.5,225419.1,301111.6,251970.1,543334,523735.1,167539.2
皮革、毛皮、羽绒及其制品业,1174345.4,183039.4,76112,121096.2,243911,178693.8,217285.6,252553.9,315625.7
木材加工及竹、藤、棕、草制品业,182233.3,55985.6,20480.4,7592.4,26401.3,3327.1,81660.6,131243.4,215246.7
家具制造业,174577.2,91262.5,33343.6,20340.1,45132.8,24711.7,61668.9,57845.6,110554.5
造纸及纸制品业,492834.2,178071.8,84711.8,28408.5,177529,135007.6,288572,203421,93947.1
印刷业、记录媒介的复制,176712.9,244030.8,23791.1,30863.4,76991,99664.6,66563.4,350249.2,46677.9
文教体育用品制造业,516855.1,308646.2,87280,48862.5,297432.5,187397.7,40874.7,168568.6,40245.6
石油加工及炼焦业,343791.4,14365.8,,,1785,,,27223.9,4735.3
化学原料及化学制品制造业,1665247.8,363856.6,381762.6,70162.1,243204.4,257338.1,340306.9,343947.2,171681.3
医药制造业,555163,271650.5,157277.9,27208.9,36622.5,82437,80145.3,94006.7,46425.8
化学纤维制造业,102453.6,26036.3,6555.1,,12315.2,132923.4,482625.8,254790.4,117113.1
橡胶制品业,346839.3,97633.8,5774.2,3150.6,42003.8,26123.3,103643,55633.9,15003.9
塑料制品业,762882.3,631238.3,247095.7,300855.1,267823,333260.4,354118.9,763654.1,51923.5
非金属矿物制品业,646654.6,44405.6,61880.5,79621.4,144908.7,154246,329513.1,2006869.1,234716.5
黑色金属冶炼及压延加工业,323869.8,71146.7,5739.7,6297.6,19385.8,15199,87043.3,4312.4,17538.5
有色金属冶炼及压延加工业,379848.9,64322.7,2840.8,88481.4,9511.5,56630.8,31645.7,618904.8,46530.8
金属制品业,840046.6,558017.3,221515.3,276811.8,182147.2,348721.2,890317.4,917489.9,171528.5
普通机械制造业,690624.7,36674.4,55264.2,58777.9,43789.1,86495.9,412918.5,181101.6,82835.2
专用设备制造业,191731.1,116857.7,75443,14910,46692.5,25638.5,68997.2,120579.1,40621.2
交通运输设备制造业,1964586,288227.8,138454.5,182394.9,46976.1,31326.4,433696.1,428735.9,104601.1
电气机械及器材制造业,1744791.4,933237.6,1342845.9,461817.2,409830,740159.1,1035811.6,3609357.7,62195.8
电子及通信设备制造业,1800899.6,12772043.2,1532960.3,4342472,2380569.3,865230.2,1101705.2,598563.8,850216.5
仪器仪表及文化、办公用机械制造业,200477.3,1143085.7,609637.8,234339,95557.7,27946.9,109649.4,150451.8,34973
其他制造业,481126.8,364177.8,57118.3,69518.4,52340.9,76398,191574,257942.4,136376.8
电力蒸汽热水生产供应业,232147.7,228653.7,20158.4,23681.3,309520.3,32029.2,43430.4,159970.9,38705.1
煤气的生产和供应业,17719.4,32317.8,106608,,,,13373.3,3029.5,
自来水的生产和供应业,104621.9,26904.5,5847.1,7322.2,37228.5,16716.5,12975.9,20641,5255.5
