行业,广州,深圳,珠海,佛山,江门,肇庆,惠州,东莞,中山
煤炭采选业,,,,,,,,,
石油和天然气开采,48.88,159.4,,,,,,,
黑色金属矿采选业,,,,,0.09,1.14,,,
有色金属矿采选业,0.08,,,,,2.6,0.26,,
非金属矿采选业,18.47,0.54,2.62,1.74,3.09,9.78,0.28,1.13,
其他矿采选业,,,,,,,,,
木材及竹材采运业,0.01,,,,,0.1,0.17,,
食品加工业,56.31,44.6,12.73,50.88,34.46,7.35,3.23,9.01,6.58
食品制造业,84.74,11.67,10.22,14.35,24.06,9.03,1.36,11.15,8.39
饮料制造业,57.57,22.04,6.83,30.61,5.81,11.7,4.64,12.5,20.76
烟草加工业,40.32,10.84,0.27,4.11,0.17,,,,
纺织业,93.05,32.04,20.2,92.53,87.39,20.3,15.39,58.24,30.19
服装及其他纤维制品制造业,128.74,50.02,32.82,58.43,59.66,20.81,22.87,39.37,36.29
皮革、毛皮、羽绒及其制品业,135.3,18.71,9.02,30.07,31.59,34.21,14.79,30.98,22.07
木材加工及竹、藤、棕、草制品业,20.75,7.05,1.82,17.95,12.09,26.34,1.99,4.53,0.64
家具制造业,20.33,14.31,2.54,8.65,6.55,12.07,2.1,7.51,4.9
造纸及纸制品业,62.44,32.43,18.34,30.93,29.06,10.02,4.5,35.26,16.7
印刷业、记录媒介的复制,20.37,24.78,3,15.9,9.39,3.68,3.43,11.98,12.58
文教体育用品制造业,59.73,46.74,10.9,22.66,4.06,4.22,7.79,35.02,21.18
石油加工及炼焦业,149.68,2.36,,9.49,,0.58,,0.24,
化学原料及化学制品制造业,240.76,24.19,24.44,46.56,38.47,18.87,9.16,29.77,32.73
医药制造业,57.47,44.73,22.02,11.92,6.2,4.75,2.33,3.17,7.44
化学纤维制造业,9.02,1.87,4.41,12.49,45.45,11.38,,1.15,10.58
橡胶制品业,34.66,10.83,0.6,4.17,10.61,1.4,0.4,6,5.46
塑料制品业,86.8,103.87,24.68,79.17,36.17,6.94,34.9,42.09,51.76
非金属矿物制品业,80.85,47.45,7.31,164.85,32.92,23.84,10.82,21.56,17.09
黑色金属冶炼及压延加工业,58.74,7.03,0.53,5.95,11.33,2.05,3.11,3.14,1.64
有色金属冶炼及压延加工业,30.82,8.5,0.24,52.32,2.82,5.12,10.71,1.36,6.43
金属制品业,92.48,101.49,23.94,97.48,99.43,17.7,27.11,31.05,49.75
普通机械制造业,62.75,6.65,4.43,21.5,37.3,9.11,6.8,7.39,11.8
专用设备制造业,22.26,16.08,7.89,13.37,10.55,4.22,1.69,7.18,4.82
交通运输设备制造业,255.84,54.53,9.89,40.56,35.72,13.18,18.88,6.07,3.22
电气机械及器材制造业,181.39,172.47,121.58,392.67,97.96,6.75,55.37,73.05,58.76
电子及通信设备制造业,162.74,1136.23,141.37,104.55,51.44,62.97,352.63,269.9,59.74
仪器仪表及文化、办公用机械制造业,17.35,148.16,49.64,29.55,10.91,3.27,21.72,16.1,2.74
其他制造业,45.73,39.12,5.75,23.4,22.54,13.74,5.81,7.39,7.41
电力蒸汽热水生产供应业,111.76,150.19,22.99,63.05,10.13,11.53,11.61,122.43,18.55
煤气的生产和供应业,6.66,3.03,24.48,0.27,0.34,,,,
自来水的生产和供应业,13.74,13,2.7,7.98,3.39,1.3,1.99,8.94,2.75
