行业,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
煤炭开采和洗选业,,,,,,,,,
石油和天然气开采业,0.07,427.2,,,,,,,
黑色金属矿采选业,,,16.34,,2.29,,,,69.32
有色金属矿采选业,15.79,,,,0.84,,,,47.66
非金属矿采选业,1.72,,,3.99,13.52,,2.54,29.71,51.76
开采辅助活动,,17.42,,,,,,,
其他采矿业,,,,,,,,,0.39
农副食品加工业,404.76,165.56,43.69,237.76,37.33,299.88,43.48,92.38,24.99
食品制造业,407.77,53.1,26.27,165.33,5.11,78.72,106.84,190.11,14.34
酒、饮料和精制茶制造业,247.29,77.54,15.27,151.86,26.18,174.15,40.48,12.25,12.69
烟草制品业,172.84,55.33,,,,,,,
纺织业,303.84,53.22,18.54,549.69,49.69,234.1,220.18,245.78,75.91
纺织服装、服饰业,495.73,226.13,38.35,431.2,57.38,306.14,351.64,226.73,48.9
皮革、毛皮、羽毛及其制品和制鞋业,241.03,145.5,15.9,225.05,101.31,289.41,162.92,110.74,104.34
木材加工和木、竹、藤、棕、草制品业,36.82,12.48,9.32,117.35,21.31,14.86,19.36,38.2,54.29
家具制造业,104.65,137.32,6.9,334.6,74.16,197.97,106.39,79.7,28.04
造纸和纸制品业,138.81,148.98,46.34,233.82,2653,487.17,183.54,166.25,49.18
印刷和记录媒介复制业,73.48,150.67,19.45,147.13,16.2,94.69,52.31,65.01,17.56
文教、工美、体育和娱乐用品制造业,229.57,1181.51,21.23,470.76,57.62,217.39,132.06,64.81,47.68
石油加工、炼焦和核燃料加工业,719.86,21.26,43.4,238.19,723.06,20.71,73.32,24.34,1.27
化学原料和化学制品制造业,1809.9,223.75,259.92,586.93,466.04,251,225.09,270.67,206.89
医药制造业,177.63,172.96,112.43,61.55,7.68,10.79,112.62,17.34,41.88
化学纤维制造业,8,2,26.73,15.5,1.41,3.97,3.9,91.68,5.45
橡胶和塑料制品业,388.58,559.44,64.02,756.39,143.49,390.97,303.43,217.04,62.09
非金属矿物制品业,142.47,226.91,28.94,1007.15,86.17,128.4,133.01,215.26,264.52
黑色金属冶炼和压延加工业,577.02,66.36,92.63,496.73,30.82,58.29,31.48,199.31,27.38
有色金属冶炼和压延加工业,265.98,206.78,84.04,873.7,16.68,72.26,146.42,89.57,312.77
金属制品业,350.68,451.34,58.48,1009.48,113.62,232.41,389.91,694.03,316.68
通用设备制造业,540.73,533.81,197.97,622.51,44.13,458.37,205.78,92.77,41.43
专用设备制造业,166.82,445.46,84.39,409.08,29.75,121.96,107.14,49.9,22.14
汽车制造业,3040.67,228.26,26.36,322.16,94.42,84.23,84.11,61.13,52.71
铁路、船舶、航空航天和其他运输设备制造业,603.13,102.64,21.97,90.84,10.02,46.2,13.8,406.01,12.62
电气机械和器材制造业,762.04,1583.34,860.47,3312.02,266.94,857.11,1321.51,460.65,101.03
计算机、通信和其他电子设备制造业,1936.01,11574.29,831.96,754.17,1954.03,2600.38,785.79,193.64,159.66
仪器仪表制造业,71.47,241.66,27.38,71.46,8.38,75.59,40.34,4.28,3.2
其他制造业,13.02,45.52,1.01,17.98,6.21,82.35,28.4,16.7,3.81
废弃资源综合利用业,37.11,1.31,0.44,241.09,32.92,2.73,2.75,6.26,80.68
金属制品、机械和设备修理业,37.08,15.56,29.09,,0.36,0.69,10.14,,2.12
电力、热力生产和供应业,976.73,725.5,183.77,383.68,228.55,523.43,180.4,230.76,99.08
燃气生产和供应业,180.36,68.01,56.65,50.51,2.79,27.1,104.04,0.88,0.68
水的生产和供应业,33.25,83.98,7.6,3536,811,26.27,21.76,7.3,3.81
