,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
1999,0.7193 ,0.9426 ,0.5244 ,0.7436 ,0.4895 ,0.4770 ,0.5741 ,0.8569 ,0.5434 
2000,0.6989 ,0.8151 ,0.4758 ,0.6783 ,0.6508 ,0.6078 ,0.7343 ,0.5083 ,0.5363 
2001,0.7538 ,0.9065 ,0.5278 ,0.7093 ,0.6743 ,0.7439 ,0.7456 ,0.5271 ,0.4738 
2002,0.7416 ,0.9559 ,0.4548 ,0.7565 ,0.5809 ,0.5196 ,0.7656 ,0.7593 ,0.7973 
2003,0.7956 ,0.9022 ,0.4433 ,0.7597 ,0.7254 ,0.4416 ,0.5757 ,0.7921 ,0.7619 
2004,0.7936 ,0.8123 ,0.4822 ,0.7079 ,0.6175 ,0.3581 ,0.5707 ,0.7722 ,0.7270 
2005,0.8152 ,0.9032 ,0.4451 ,0.7621 ,0.6379 ,0.3820 ,0.5828 ,0.7714 ,0.8150 
2006,0.8559 ,0.9686 ,0.4637 ,0.8011 ,0.5956 ,0.3755 ,0.6145 ,0.7764 ,0.8549 
2007,0.9076 ,0.9699 ,0.4859 ,0.7853 ,0.6070 ,0.3791 ,0.6244 ,0.7460 ,0.8905 
2008,0.8722 ,0.9791 ,0.4810 ,0.7618 ,0.6319 ,0.4100 ,0.6313 ,0.6883 ,0.9040 
2009,0.8563 ,0.9909 ,0.5084 ,0.7684 ,0.7194 ,0.4313 ,0.5989 ,0.6644 ,0.9096 
2010,0.8367 ,0.9903 ,0.5091 ,0.7459 ,0.7161 ,0.4766 ,0.5842 ,0.6655 ,0.8948 
2011,0.8803 ,1.0078 ,0.6154 ,0.8776 ,0.8807 ,0.5066 ,0.6070 ,0.8260 ,0.9543 
2012,0.8330 ,0.9228 ,0.5379 ,0.7945 ,0.7427 ,0.5143 ,0.5860 ,0.8373 ,0.9484 
2013,0.8262 ,0.8978 ,0.5482 ,0.7785 ,0.7277 ,0.5331 ,0.5202 ,0.8256 ,0.9613 
2014,0.8354 ,0.8971 ,0.5414 ,0.7913 ,0.6367 ,0.5651 ,0.5543 ,0.8266 ,0.9407 
2015,0.8240 ,0.8877 ,0.5280 ,0.7926 ,0.5582 ,0.5247 ,0.5684 ,0.7939 ,0.9183 
2016,0.8512 ,0.8568 ,0.5819 ,0.8068 ,0.5059 ,0.5674 ,0.5557 ,0.7870 ,0.9164 
2017,0.9135 ,0.8426 ,0.6007 ,0.8603 ,0.4991 ,0.5343 ,0.5345 ,0.7725 ,0.9364 
2018,0.9204 ,0.8822 ,0.5998 ,0.8859 ,0.5721 ,0.5236 ,0.5627 ,0.8070 ,0.9552 
