,2003,2004,2005,2006,2007,2008,2009,2010
农副食品加工业,深圳(0.2417),深圳(0.23),广州(0.2431),广州(0.2394),广州(0.2763),广州(0.2898),广州(0.2783),广州(0.2686)
食品制造业,广州(0.4778),广州(0.4795),广州(0.4263),广州(0.4262),广州(0.4026),广州(0.3938),广州(0.397),广州(0.3734)
饮料制造业,广州(0.3505),广州(0.3799),广州(0.3438),广州(0.3462),广州(0.3375),广州(0.3118),广州(0.394),广州(0.356)
烟草制品业,广州(0.7341),广州(0.7909),广州(0.7905),广州(0.7522),广州(0.7525),广州(0.7583),广州(0.7184),广州(0.7253)
纺织业,东莞(0.2084),广州(0.1984),东莞(0.2037),佛山(0.2037),佛山(0.2355),佛山(0.2828),佛山(0.3208),佛山(0.3197)
纺织服装、鞋、帽制造业,广州(0.2563),中山(0.1893),中山(0.1965),佛山(0.1924),佛山(0.2059),广州(0.2008),佛山(0.2009),广州(0.2286)
皮革、毛皮、羽毛(绒)及其制品业,广州(0.303),广州(0.2779),广州(0.2399),广州(0.2197),东莞(0.1974),东莞(0.1957),东莞(0.1928),东莞(0.2215)
木材加工及竹、藤、棕、草制品业,佛山(0.2431),佛山(0.2853),佛山(0.298),佛山(0.3571),佛山(0.4211),佛山(0.3762),佛山(0.351),佛山(0.4257)
家具制造业,东莞(0.2639),东莞(0.2976),东莞(0.3032),东莞(0.315),东莞(0.2694),佛山(0.3022),佛山(0.3425),佛山(0.3424)
造纸及纸制品业,东莞(0.2578),东莞(0.2754),东莞(0.3043),东莞(0.3306),东莞(0.3277),东莞(0.3392),东莞(0.2957),东莞(0.3163)
印刷业和记录媒介的复制,深圳(0.3169),深圳(0.3483),深圳(0.3911),深圳(0.3515),深圳(0.3224),深圳(0.2919),深圳(0.2402),深圳(0.2434)
文教体育用品制造业,东莞(0.2412),东莞(0.2676),东莞(0.27),东莞(0.2369),东莞(0.2471),东莞(0.2543),东莞(0.2274),东莞(0.2416)
石油加工、炼焦及核燃料加工业,广州(0.8227),广州(0.7919),广州(0.6967),广州(0.6198),广州(0.6667),广州(0.6745),广州(0.4246),惠州(0.4053)
化学原料及化学制品制造业,广州(0.5365),广州(0.5271),广州(0.4908),广州(0.4217),广州(0.4018),广州(0.4036),广州(0.4175),广州(0.399)
医药制造业,广州(0.3219),广州(0.3143),广州(0.3388),广州(0.3035),广州(0.2997),广州(0.2938),广州(0.2745),广州(0.2504)
化学纤维制造业,佛山(0.2506),江门(0.252),珠海(0.234),江门(0.5609),江门(0.4681),江门(0.4999),江门(0.4741),江门(0.4931)
橡胶制品业,广州(0.4645),广州(0.407),广州(0.4041),广州(0.3619),广州(0.3508),广州(0.2868),广州(0.2495),广州(0.2585)
塑料制品业,深圳(0.1963),深圳(0.2237),佛山(0.2151),佛山(0.2604),佛山(0.2595),佛山(0.263),佛山(0.298),佛山(0.276)
非金属矿物制品业,佛山(0.4445),佛山(0.4608),佛山(0.5192),佛山(0.5449),佛山(0.5569),佛山(0.566),佛山(0.5468),佛山(0.5026)
黑色金属冶炼及压延加工业,广州(0.5155),广州(0.5111),广州(0.5015),广州(0.5447),广州(0.5198),广州(0.4602),广州(0.4373),广州(0.3907)
有色金属冶炼及压延加工业,佛山(0.5999),佛山(0.5765),佛山(0.6007),佛山(0.5792),佛山(0.5925),佛山(0.5295),佛山(0.5068),佛山(0.498)
金属制品业,佛山(0.196),佛山(0.2176),佛山(0.2269),佛山(0.274),佛山(0.2964),佛山(0.3162),佛山(0.3755),佛山(0.3307)
通用设备制造业,广州(0.3155),广州(0.3219),广州(0.327),广州(0.3081),广州(0.2741),佛山(0.2935),佛山(0.3443),佛山(0.2949)
专用设备制造业,深圳(0.2729),深圳(0.364),深圳(0.3021),深圳(0.3173),深圳(0.3256),深圳(0.3029),佛山(0.2959),深圳(0.3149)
交通运输设备制造业,广州(0.7116),广州(0.6721),广州(0.7014),广州(0.705),广州(0.7046),广州(0.6738),广州(0.6899),广州(0.6849)
电气机械及器材制造业,佛山(0.3295),佛山(0.2961),佛山(0.3152),佛山(0.3212),佛山(0.3301),佛山(0.343),佛山(0.3599),佛山(0.3656)
通信设备、计算机及其他电子设备制造业,深圳(0.5271),深圳(0.5528),深圳(0.5934),深圳(0.612),深圳(0.6134),深圳(0.6084),深圳(0.5916),深圳(0.5741)
仪器仪表及文化、办公用机械制造业,深圳(0.3889),深圳(0.3794),深圳(0.3461),深圳(0.3519),深圳(0.3783),深圳(0.3371),深圳(0.3806),深圳(0.3998)
工艺品及其他制造业,深圳(0.2717),深圳(0.4366),深圳(0.4265),深圳(0.4195),深圳(0.4619),深圳(0.4689),深圳(0.4744),深圳(0.542)
